"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2023","1,014.74","1,014.74","1,014.74","1,014.74","","0.31%"
"03/28/2023","1,011.58","1,011.58","1,011.58","1,011.58","","0.13%"
"03/27/2023","1,010.27","1,010.27","1,010.27","1,010.27","","0.53%"
"03/24/2023","1,004.90","1,004.90","1,004.90","1,004.90","","0.40%"
"03/23/2023","1,000.88","1,000.88","1,000.88","1,000.88","","0.50%"
"03/22/2023","995.87","995.87","995.87","995.87","","0.61%"
"03/21/2023","989.87","989.87","989.87","989.87","","1.16%"
"03/20/2023","978.52","978.52","978.52","978.52","","-2.23%"
"03/17/2023","1,000.86","1,000.86","1,000.86","1,000.86","","-0.22%"
"03/16/2023","1,003.02","1,003.02","1,003.02","1,003.02","","-1.43%"
"03/15/2023","1,017.62","1,017.62","1,017.62","1,017.62","","2.59%"
"03/14/2023","991.97","991.97","991.97","991.97","","-1.35%"
"03/13/2023","1,005.52","1,005.52","1,005.52","1,005.52","","0.18%"
"03/10/2023","1,003.71","1,003.71","1,003.71","1,003.71","","-0.02%"
"03/09/2023","1,003.95","1,003.95","1,003.95","1,003.95","","0.63%"
"03/08/2023","997.67","997.67","997.67","997.67","","1.20%"
"03/07/2023","985.81","985.81","985.81","985.81","","1.28%"
"03/06/2023","973.34","973.34","973.34","973.34","","0.28%"
"03/03/2023","970.64","970.64","970.64","970.64","","-1.46%"
"03/02/2023","985.07","985.07","985.07","985.07","","-0.50%"
"03/01/2023","990.01","990.01","990.01","990.01","","1.48%"
"02/28/2023","975.56","975.56","975.56","975.56","","0.53%"
"02/27/2023","970.42","970.42","970.42","970.42","","-2.29%"
"02/24/2023","993.17","993.17","993.17","993.17","","-1.79%"
"02/23/2023","1,011.32","1,011.32","1,011.32","1,011.32","","-0.33%"
"02/22/2023","1,014.66","1,014.66","1,014.66","1,014.66","","-3.05%"
"02/21/2023","1,046.58","1,046.58","1,046.58","1,046.58","","-0.42%"
"02/20/2023","1,050.99","1,050.99","1,050.99","1,050.99","","2.97%"
"02/17/2023","1,020.65","1,020.65","1,020.65","1,020.65","","-0.10%"
"02/16/2023","1,021.72","1,021.72","1,021.72","1,021.72","","0.97%"
"02/15/2023","1,011.87","1,011.87","1,011.87","1,011.87","","0.74%"
"02/14/2023","1,004.41","1,004.41","1,004.41","1,004.41","","-0.30%"
"02/13/2023","1,007.47","1,007.47","1,007.47","1,007.47","","-1.28%"
"02/10/2023","1,020.49","1,020.49","1,020.49","1,020.49","","-0.78%"
"02/09/2023","1,028.54","1,028.54","1,028.54","1,028.54","","-1.08%"
"02/08/2023","1,039.72","1,039.72","1,039.72","1,039.72","","0.31%"
"02/07/2023","1,036.49","1,036.49","1,036.49","1,036.49","","-2.49%"
"02/06/2023","1,062.98","1,062.98","1,062.98","1,062.98","","0.84%"
"02/03/2023","1,054.16","1,054.16","1,054.16","1,054.16","","-0.31%"
"02/02/2023","1,057.44","1,057.44","1,057.44","1,057.44","","0.32%"
"02/01/2023","1,054.08","1,054.08","1,054.08","1,054.08","","-3.51%"
"01/31/2023","1,092.46","1,092.46","1,092.46","1,092.46","","-0.68%"
"01/27/2023","1,099.97","1,099.97","1,099.97","1,099.97","","0.97%"
"01/19/2023","1,089.39","1,089.39","1,089.39","1,089.39","","0.70%"
"01/18/2023","1,081.85","1,081.85","1,081.85","1,081.85","","1.18%"
"01/17/2023","1,069.24","1,069.24","1,069.24","1,069.24","","2.62%"
"01/16/2023","1,041.92","1,041.92","1,041.92","1,041.92","","0.11%"
"01/13/2023","1,040.78","1,040.78","1,040.78","1,040.78","","0.29%"
"01/12/2023","1,037.75","1,037.75","1,037.75","1,037.75","","-0.19%"
"01/11/2023","1,039.72","1,039.72","1,039.72","1,039.72","","0.47%"
"01/10/2023","1,034.83","1,034.83","1,034.83","1,034.83","","-0.18%"
"01/09/2023","1,036.74","1,036.74","1,036.74","1,036.74","","0.19%"
"01/06/2023","1,034.74","1,034.74","1,034.74","1,034.74","","-0.92%"
"01/05/2023","1,044.36","1,044.36","1,044.36","1,044.36","","1.07%"
"01/04/2023","1,033.27","1,033.27","1,033.27","1,033.27","","0.36%"
"01/03/2023","1,029.58","1,029.58","1,029.58","1,029.58","","3.88%"
