"Date","Price","Open","High","Low","Vol.","Change %"
"03/30/2023","342.78","342.78","342.78","342.78","","0.49%"
"03/29/2023","341.11","341.11","341.11","341.11","","0.51%"
"03/28/2023","339.39","339.39","339.39","339.39","","-0.10%"
"03/27/2023","339.73","339.73","339.73","339.73","","0.60%"
"03/24/2023","337.72","337.72","337.72","337.72","","0.26%"
"03/23/2023","336.85","336.85","336.85","336.85","","0.62%"
"03/22/2023","334.76","334.76","334.76","334.76","","0.87%"
"03/21/2023","331.88","331.88","331.88","331.88","","1.48%"
"03/20/2023","327.04","327.04","327.04","327.04","","-2.32%"
"03/17/2023","334.81","334.81","334.81","334.81","","-0.48%"
"03/16/2023","336.41","336.41","336.41","336.41","","-1.48%"
"03/15/2023","341.46","341.46","341.46","341.46","","2.68%"
"03/14/2023","332.54","332.54","332.54","332.54","","-1.53%"
"03/13/2023","337.70","337.70","337.70","337.70","","0.47%"
"03/10/2023","336.13","336.13","336.13","336.13","","0.46%"
"03/09/2023","334.59","334.59","334.59","334.59","","0.43%"
"03/08/2023","333.16","333.16","333.16","333.16","","1.27%"
"03/07/2023","328.98","328.98","328.98","328.98","","1.58%"
"03/06/2023","323.86","323.86","323.86","323.86","","0.19%"
"03/03/2023","323.23","323.23","323.23","323.23","","-1.38%"
"03/02/2023","327.75","327.75","327.75","327.75","","-0.59%"
"03/01/2023","329.69","329.69","329.69","329.69","","1.33%"
"02/28/2023","325.36","325.36","325.36","325.36","","0.88%"
"02/27/2023","322.52","322.52","322.52","322.52","","-2.25%"
"02/24/2023","329.93","329.93","329.93","329.93","","-1.86%"
"02/23/2023","336.17","336.17","336.17","336.17","","-0.56%"
"02/22/2023","338.06","338.06","338.06","338.06","","-3.38%"
"02/21/2023","349.88","349.88","349.88","349.88","","-0.35%"
"02/20/2023","351.12","351.12","351.12","351.12","","3.20%"
"02/17/2023","340.24","340.24","340.24","340.24","","-0.19%"
"02/16/2023","340.88","340.88","340.88","340.88","","0.83%"
"02/15/2023","338.08","338.08","338.08","338.08","","0.60%"
"02/14/2023","336.07","336.07","336.07","336.07","","-0.52%"
"02/13/2023","337.82","337.82","337.82","337.82","","-1.11%"
"02/10/2023","341.62","341.62","341.62","341.62","","-0.41%"
"02/09/2023","343.03","343.03","343.03","343.03","","-1.30%"
"02/08/2023","347.56","347.56","347.56","347.56","","0.45%"
"02/07/2023","346.01","346.01","346.01","346.01","","-3.01%"
"02/06/2023","356.76","356.76","356.76","356.76","","0.73%"
"02/03/2023","354.18","354.18","354.18","354.18","","0.20%"
"02/02/2023","353.49","353.49","353.49","353.49","","0.27%"
"02/01/2023","352.55","352.55","352.55","352.55","","-4.08%"
"01/31/2023","367.53","367.53","367.53","367.53","","-1.16%"
"01/27/2023","371.84","371.84","371.84","371.84","","0.98%"
"01/19/2023","368.24","368.24","368.24","368.24","","0.64%"
"01/18/2023","365.89","365.89","365.89","365.89","","1.12%"
"01/17/2023","361.85","361.85","361.85","361.85","","3.08%"
"01/16/2023","351.05","351.05","351.05","351.05","","-0.15%"
"01/13/2023","351.58","351.58","351.58","351.58","","0.34%"
"01/12/2023","350.38","350.38","350.38","350.38","","-0.12%"
"01/11/2023","350.79","350.79","350.79","350.79","","0.54%"
"01/10/2023","348.91","348.91","348.91","348.91","","0.01%"
"01/09/2023","348.89","348.89","348.89","348.89","","0.47%"
"01/06/2023","347.26","347.26","347.26","347.26","","-1.49%"
"01/05/2023","352.53","352.53","352.53","352.53","","1.32%"
"01/04/2023","347.93","347.93","347.93","347.93","","0.63%"
"01/03/2023","345.74","345.74","345.74","345.74","","4.42%"
"12/30/2022","331.10","331.10","331.10","331.10","","-0.22%"
"12/29/2022","331.83","331.83","331.83","331.83","","-0.40%"
"12/28/2022","333.17","333.17","333.17","333.17","","0.96%"
"12/27/2022","330.01","330.01","330.01","330.01","","2.40%"
"12/26/2022","322.27","322.27","322.27","322.27","","-4.27%"
"12/23/2022","336.66","336.66","336.66","336.66","","-0.56%"
"12/22/2022","338.56","338.56","338.56","338.56","","-0.12%"
"12/21/2022","338.95","338.95","338.95","338.95","","-0.53%"
"12/20/2022","340.76","340.76","340.76","340.76","","-1.61%"
"12/19/2022","346.35","346.35","346.35","346.35","","-1.65%"
"12/16/2022","352.16","352.16","352.16","352.16","","-0.89%"
"12/15/2022","355.31","355.31","355.31","355.31","","-0.12%"
"12/14/2022","355.72","355.72","355.72","355.72","","-0.10%"
"12/13/2022","356.09","356.09","356.09","356.09","","1.66%"
"12/12/2022","350.27","350.27","350.27","350.27","","-3.54%"
"12/09/2022","363.11","363.11","363.11","363.11","","-0.45%"
"12/08/2022","364.74","364.74","364.74","364.74","","0.07%"
"12/07/2022","364.47","364.47","364.47","364.47","","0.21%"
"12/06/2022","363.72","363.72","363.72","363.72","","-4.42%"
"12/05/2022","380.53","380.53","380.53","380.53","","1.46%"
"12/02/2022","375.06","375.06","375.06","375.06","","5.17%"
"12/01/2022","356.63","356.63","356.63","356.63","","-2.29%"
