"Date","Price","Open","High","Low","Vol.","Change %"
"03/21/2023","989.87","989.87","989.87","989.87","","1.16%"
"03/20/2023","978.52","978.52","978.52","978.52","","-2.23%"
"03/17/2023","1,000.86","1,000.86","1,000.86","1,000.86","","-0.22%"
"03/16/2023","1,003.02","1,003.02","1,003.02","1,003.02","","-1.43%"
"03/15/2023","1,017.62","1,017.62","1,017.62","1,017.62","","2.59%"
"03/14/2023","991.97","991.97","991.97","991.97","","-1.35%"
"03/13/2023","1,005.52","1,005.52","1,005.52","1,005.52","","0.18%"
"03/10/2023","1,003.71","1,003.71","1,003.71","1,003.71","","-0.02%"
"03/09/2023","1,003.95","1,003.95","1,003.95","1,003.95","","0.63%"
"03/08/2023","997.67","997.67","997.67","997.67","","1.20%"
"03/07/2023","985.81","985.81","985.81","985.81","","1.28%"
"03/06/2023","973.34","973.34","973.34","973.34","","0.28%"
"03/03/2023","970.64","970.64","970.64","970.64","","-1.46%"
"03/02/2023","985.07","985.07","985.07","985.07","","-0.50%"
"03/01/2023","990.01","990.01","990.01","990.01","","1.48%"
"02/28/2023","975.56","975.56","975.56","975.56","","0.53%"
"02/27/2023","970.42","970.42","970.42","970.42","","-2.29%"
"02/24/2023","993.17","993.17","993.17","993.17","","-1.79%"
"02/23/2023","1,011.32","1,011.32","1,011.32","1,011.32","","-0.33%"
"02/22/2023","1,014.66","1,014.66","1,014.66","1,014.66","","-3.05%"
