"Date","Price","Open","High","Low","Vol.","Change %"
"03/30/2023","274.85","273.67","278.36","273.67","8.27K","0.43%"
"03/29/2023","273.67","273.47","275.03","272.66","3.99K","0.08%"
"03/28/2023","273.46","272.27","276.82","267.17","9.02K","0.26%"
"03/27/2023","272.75","270.75","273.03","270.74","5.27K","0.65%"
"03/24/2023","271.00","268.23","272.77","267.89","7.16K","1.16%"
"03/23/2023","267.89","268.43","268.46","266.20","4.20K","-0.10%"
"03/22/2023","268.17","267.93","269.70","267.60","4.68K","0.22%"
"03/21/2023","267.59","265.50","268.03","264.43","4.05K","0.68%"
"03/20/2023","265.79","268.46","270.90","265.36","5.84K","-0.99%"
"03/17/2023","268.46","265.44","268.68","265.34","7.99K","1.18%"
"03/16/2023","265.34","269.54","269.54","264.77","5.62K","-1.56%"
"03/15/2023","269.54","262.46","270.79","262.46","8.15K","2.72%"
"03/14/2023","262.39","268.96","269.98","261.46","11.33K","-2.44%"
"03/13/2023","268.96","271.41","271.50","268.82","7.76K","-0.90%"
"03/10/2023","271.41","272.72","274.20","270.28","9.07K","-0.49%"
"03/09/2023","272.76","270.11","273.82","270.11","7.41K","0.76%"
"03/08/2023","270.71","267.91","270.91","265.97","4.53K","1.05%"
"03/07/2023","267.91","263.55","270.72","263.09","4.53K","-0.38%"
"03/06/2023","268.92","266.95","274.09","266.95","5.85K","0.74%"
"03/03/2023","266.95","268.55","271.79","266.50","6.02K","-0.60%"
"03/02/2023","268.55","267.50","270.77","267.34","6.67K","0.45%"
"03/01/2023","267.36","262.87","267.36","259.76","6.06K","1.76%"
"02/28/2023","262.73","256.55","265.65","256.55","5.03K","0.31%"
"02/27/2023","261.92","268.50","268.50","261.62","6.71K","-2.40%"
"02/24/2023","268.36","269.92","271.73","267.23","5.88K","-0.58%"
"02/23/2023","269.92","267.65","269.92","262.89","10.84K","0.21%"
"02/22/2023","269.35","276.48","276.48","269.35","13.42K","-2.70%"
"02/21/2023","276.82","279.07","282.02","276.45","10.14K","-0.81%"
"02/20/2023","279.07","268.11","279.38","268.11","13.17K","4.09%"
"02/17/2023","268.11","269.38","272.03","268.06","9.25K","-0.56%"
"02/16/2023","269.63","266.66","270.48","266.66","9.78K","1.11%"
"02/15/2023","266.66","258.37","266.89","257.67","11.16K","3.14%"
"02/14/2023","258.54","257.09","260.34","256.29","4.63K","0.56%"
"02/13/2023","257.09","264.61","264.62","253.79","8.96K","-2.84%"
"02/10/2023","264.61","265.89","267.47","262.98","5.90K","-0.49%"
"02/09/2023","265.92","264.85","268.03","264.79","4.83K","0.24%"
"02/08/2023","265.28","264.97","268.10","260.06","7.34K","0.12%"
"02/07/2023","264.97","273.65","275.28","264.54","10.60K","-3.17%"
"02/06/2023","273.65","274.52","275.97","272.04","5.84K","-0.32%"
"02/03/2023","274.52","272.41","277.62","271.16","7.47K","0.90%"
"02/02/2023","272.07","274.32","277.43","270.56","9.83K","-1.13%"
"02/01/2023","275.17","287.22","290.42","275.17","16.64K","-3.62%"
"01/31/2023","285.52","282.94","285.54","279.97","10.18K","0.98%"
"01/30/2023","282.74","278.60","287.63","277.64","14.88K","0.89%"
"01/27/2023","280.25","279.20","284.60","279.05","8.30K","0.40%"
"01/19/2023","279.14","277.93","280.66","276.14","6.85K","0.44%"
"01/18/2023","277.93","275.02","279.22","275.02","6.99K","1.11%"
"01/17/2023","274.87","265.33","275.22","265.33","8.53K","2.61%"
"01/16/2023","267.88","266.00","269.82","264.45","4.94K","0.71%"
"01/13/2023","266.00","266.93","270.81","264.33","6.05K","-0.40%"
"01/12/2023","267.06","267.17","270.49","266.12","6.24K","-0.04%"
"01/11/2023","267.17","264.00","269.47","261.00","6.17K","0.80%"
"01/10/2023","265.05","257.33","266.21","256.65","5.25K","1.35%"
"01/09/2023","261.52","261.76","267.00","260.90","4.60K","-0.83%"
"01/06/2023","263.71","263.73","270.00","262.53","5.85K","-1.96%"
"01/05/2023","268.98","268.10","273.02","265.51","5.95K","-0.34%"
"01/04/2023","269.90","265.33","273.91","265.33","8.32K","0.59%"
"01/03/2023","268.32","255.27","268.60","255.27","7.68K","5.01%"
"12/30/2022","255.51","255.81","258.34","254.29","5.33K","-0.11%"
"12/29/2022","255.80","258.57","261.05","255.78","5.40K","-0.44%"
"12/28/2022","256.93","254.69","259.30","254.69","3.91K","0.70%"
"12/27/2022","255.14","247.56","255.14","245.57","6.59K","3.06%"
"12/26/2022","247.56","259.03","260.88","247.21","9.08K","-4.59%"
"12/23/2022","259.48","259.01","262.39","258.36","5.45K","0.06%"
"12/22/2022","259.33","253.73","261.45","249.21","7.53K","0.36%"
"12/21/2022","258.39","261.07","265.16","252.85","9.64K","-1.29%"
"12/20/2022","261.77","270.82","273.70","258.57","17.59K","-4.03%"
"12/19/2022","272.77","281.99","284.95","272.56","10.75K","-3.27%"
