"Date","Price","Open","High","Low","Vol.","Change %"
"03/30/2023","208.77","208.35","210.67","208.35","56.74K","0.25%"
"03/29/2023","208.24","208.47","209.33","206.61","37.12K","-0.11%"
"03/28/2023","208.47","209.80","211.25","207.63","51.28K","-0.59%"
"03/27/2023","209.71","208.77","209.71","207.95","49.53K","0.52%"
"03/24/2023","208.63","205.95","209.59","205.95","53.67K","1.36%"
"03/23/2023","205.83","206.66","206.94","202.54","34.23K","-0.40%"
"03/22/2023","206.66","205.84","208.20","205.84","34.59K","0.47%"
"03/21/2023","205.70","203.58","205.79","203.45","27.48K","0.81%"
"03/20/2023","204.04","207.03","208.14","204.04","41.36K","-1.52%"
"03/17/2023","207.18","206.69","209.53","205.67","34.47K","0.24%"
"03/16/2023","206.69","209.67","209.94","206.10","37.97K","-1.49%"
"03/15/2023","209.82","204.73","211.15","204.72","66.40K","2.49%"
"03/14/2023","204.72","208.27","209.39","203.59","57.66K","-1.82%"
"03/13/2023","208.51","210.51","210.81","208.47","36.05K","-1.09%"
"03/10/2023","210.81","212.11","212.30","209.86","52.90K","-0.61%"
"03/09/2023","212.11","211.09","213.18","209.81","40.89K","0.12%"
"03/08/2023","211.85","210.43","211.86","208.70","47.45K","0.64%"
"03/07/2023","210.50","207.45","210.81","205.10","31.86K","0.64%"
"03/06/2023","209.16","207.06","211.18","207.06","37.53K","0.98%"
"03/03/2023","207.13","208.72","210.50","206.24","48.69K","-0.76%"
"03/02/2023","208.72","209.53","211.74","206.81","26.14K","-0.39%"
"03/01/2023","209.53","203.26","209.53","201.74","43.40K","2.56%"
"02/28/2023","204.29","203.62","207.90","202.74","35.04K","-0.51%"
"02/27/2023","205.33","209.97","210.19","204.50","51.98K","-2.21%"
"02/24/2023","209.97","212.29","214.34","209.97","41.42K","-1.09%"
"02/23/2023","212.29","212.58","213.51","208.35","62.06K","-0.29%"
"02/22/2023","212.90","217.55","218.12","212.90","83.33K","-2.14%"
"02/21/2023","217.55","219.76","221.56","217.50","56.63K","-1.01%"
"02/20/2023","219.76","213.27","219.93","213.27","67.79K","3.04%"
"02/17/2023","213.27","214.33","216.14","212.79","46.04K","-0.48%"
"02/16/2023","214.29","211.24","214.29","211.24","46.90K","1.52%"
"02/15/2023","211.09","207.63","212.65","207.50","44.61K","1.74%"
"02/14/2023","207.47","207.28","208.34","203.99","25.70K","0.11%"
"02/13/2023","207.24","211.49","211.86","204.39","62.90K","-2.00%"
"02/10/2023","211.47","213.96","214.57","210.63","33.59K","-1.25%"
"02/09/2023","214.15","214.19","215.10","213.09","33.40K","0.06%"
"02/08/2023","214.03","213.16","216.11","212.05","44.27K","0.30%"
"02/07/2023","213.38","218.55","219.67","213.36","53.39K","-2.40%"
"02/06/2023","218.63","219.61","220.17","217.72","35.85K","-0.47%"
"02/03/2023","219.67","219.87","221.62","217.82","42.44K","-0.01%"
"02/02/2023","219.69","220.15","221.83","218.28","62.90K","-0.21%"
"02/01/2023","220.15","228.04","230.13","220.15","97.03K","-3.33%"
"01/31/2023","227.74","226.31","227.74","223.04","62.89K","0.73%"
"01/30/2023","226.10","226.83","228.86","225.38","79.23K","-0.34%"
"01/27/2023","226.87","226.40","229.79","226.14","51.04K","0.25%"
"01/19/2023","226.31","224.17","226.61","223.62","54.62K","0.95%"
"01/18/2023","224.17","221.29","224.66","221.20","62.83K","1.39%"
"01/17/2023","221.10","216.10","221.10","215.26","52.66K","2.29%"
"01/16/2023","216.15","216.47","217.42","215.23","29.06K","-0.15%"
"01/13/2023","216.47","217.36","219.40","215.92","48.32K","-0.41%"
"01/12/2023","217.36","216.91","218.55","216.02","36.39K","0.21%"
"01/11/2023","216.91","215.87","218.65","214.29","44.17K","0.57%"
"01/10/2023","215.68","214.61","216.45","211.91","34.02K","0.34%"
"01/09/2023","214.94","216.23","218.84","213.98","30.70K","-0.56%"
"01/06/2023","216.16","218.71","220.72","215.63","47.91K","-1.27%"
"01/05/2023","218.94","218.28","220.58","216.62","41.53K","0.22%"
"01/04/2023","218.46","218.10","220.96","216.29","51.68K","0.25%"
"01/03/2023","217.91","209.23","217.95","208.77","53.40K","4.00%"
"12/30/2022","209.52","210.93","212.59","209.09","27.30K","-0.80%"
"12/29/2022","211.21","210.51","211.45","206.97","30.38K","0.32%"
"12/28/2022","210.53","206.59","210.77","206.52","34.81K","1.72%"
"12/27/2022","206.97","201.04","207.07","199.90","47.31K","2.68%"
"12/26/2022","201.56","209.46","209.99","200.99","63.58K","-3.77%"
"12/23/2022","209.46","210.33","211.13","207.04","35.80K","-0.41%"
"12/22/2022","210.33","207.19","211.43","204.81","44.85K","0.77%"
"12/21/2022","208.72","211.91","213.46","204.09","66.94K","-1.62%"
"12/20/2022","212.15","216.07","219.22","208.58","92.12K","-2.41%"
"12/19/2022","217.39","217.66","223.36","217.39","81.81K","-0.33%"
"12/16/2022","218.10","218.25","221.05","216.63","81.90K","-0.16%"
"12/15/2022","218.44","218.70","220.39","215.97","54.42K","-0.14%"
"12/14/2022","218.75","219.68","223.72","217.67","65.39K","-0.42%"
"12/13/2022","219.68","215.27","219.95","211.46","77.64K","1.66%"
"12/12/2022","216.10","224.80","226.92","216.10","91.40K","-3.56%"
"12/09/2022","224.07","221.90","224.62","220.23","83.93K","1.02%"
"12/08/2022","221.81","215.50","223.33","214.19","77.49K","2.86%"
"12/07/2022","215.64","218.36","220.37","213.32","85.75K","-1.25%"
"12/06/2022","218.36","226.07","228.61","218.36","145.54K","-3.53%"
"12/05/2022","226.36","222.40","229.00","222.38","88.84K","2.12%"
"12/02/2022","221.66","215.90","221.68","212.64","104.57K","2.79%"
"12/01/2022","215.64","213.80","220.03","213.19","95.65K","0.97%"
"11/30/2022","213.56","212.25","216.32","208.45","66.44K","0.14%"
"11/29/2022","213.27","208.90","213.50","206.76","100.91K","2.18%"
"11/28/2022","208.71","201.14","208.79","200.65","57.69K","3.86%"
"11/25/2022","200.95","193.84","200.96","192.08","43.54K","3.35%"
"11/24/2022","194.43","193.95","195.09","191.09","46.26K","0.25%"
"11/23/2022","193.95","197.79","199.32","193.95","43.13K","-1.98%"
"11/22/2022","197.86","195.55","201.84","193.67","73.73K","1.25%"
"11/21/2022","195.41","192.71","197.15","190.22","37.64K","0.92%"
"11/18/2022","193.63","189.34","194.04","185.37","80.61K","1.77%"
"11/17/2022","190.26","186.02","191.42","183.25","51.24K","2.62%"
"11/16/2022","185.41","176.38","185.50","168.31","82.54K","5.03%"
"11/15/2022","176.53","183.16","183.16","174.94","46.21K","-4.38%"
"11/14/2022","184.62","191.19","191.19","183.34","52.84K","-3.47%"
"11/11/2022","191.25","193.14","195.44","189.80","66.03K","-1.43%"
"11/10/2022","194.03","203.54","203.54","193.64","48.46K","-4.70%"
"11/09/2022","203.59","200.92","206.00","199.92","36.64K","0.96%"
"11/08/2022","201.65","200.03","201.73","196.08","43.39K","0.86%"
"11/07/2022","199.93","204.98","206.81","199.48","52.48K","-2.96%"
"11/04/2022","206.02","212.84","213.24","204.89","60.36K","-3.32%"
"11/03/2022","213.09","214.11","214.11","211.85","31.34K","-0.41%"
"11/02/2022","213.97","214.63","216.60","213.64","37.49K","-0.34%"
"11/01/2022","214.71","212.63","216.00","211.71","44.79K","0.98%"
"10/31/2022","212.63","216.39","218.38","210.47","41.28K","-1.71%"
"10/28/2022","216.33","215.03","221.06","214.52","46.15K","0.02%"
"10/27/2022","216.29","205.76","216.29","201.23","43.78K","4.49%"
"10/26/2022","206.99","208.96","212.28","204.65","31.41K","-1.27%"
"10/25/2022","209.65","211.21","214.11","204.26","57.92K","-0.79%"
"10/24/2022","211.32","220.58","222.27","209.76","48.61K","-4.17%"
"10/21/2022","220.52","230.56","231.03","219.17","73.21K","-4.43%"
"10/20/2022","230.74","233.63","234.39","229.69","24.29K","-1.24%"
"10/19/2022","233.63","235.02","237.06","232.94","27.56K","-0.57%"
"10/18/2022","234.97","230.80","238.41","230.80","42.09K","1.50%"
"10/17/2022","231.50","233.24","233.24","228.20","33.00K","-0.67%"
"10/14/2022","233.07","229.70","235.84","229.70","53.86K","1.47%"
"10/13/2022","229.70","227.80","229.80","227.17","25.14K","0.91%"
"10/12/2022","227.63","220.07","229.98","216.31","39.56K","3.21%"
"10/11/2022","220.56","233.80","234.79","220.56","57.76K","-5.80%"
"10/10/2022","234.14","227.99","234.69","224.41","46.91K","2.70%"
"10/07/2022","227.99","239.00","239.16","224.39","64.89K","-4.61%"
"10/06/2022","239.00","247.60","249.65","237.55","40.16K","-3.54%"
"10/05/2022","247.78","238.72","248.71","236.90","37.64K","3.78%"
"10/04/2022","238.76","242.23","247.14","238.71","43.36K","-1.46%"
"10/03/2022","242.29","256.27","257.45","242.29","48.28K","-5.94%"
"09/30/2022","257.60","256.82","257.60","247.20","58.76K","0.30%"
"09/29/2022","256.82","260.27","265.05","256.63","41.27K","-1.33%"
"09/28/2022","260.27","263.91","264.65","260.11","50.47K","-1.38%"
"09/27/2022","263.91","264.11","266.28","261.93","35.35K","-0.06%"
"09/26/2022","264.06","274.19","275.59","259.55","65.97K","-4.22%"
"09/23/2022","275.69","275.62","280.47","275.57","41.00K","-0.51%"
"09/22/2022","277.11","276.36","277.11","271.20","45.99K","0.14%"
"09/21/2022","276.73","278.96","279.05","274.81","32.81K","-0.80%"
"09/20/2022","278.96","275.57","280.23","274.01","42.74K","1.21%"
"09/19/2022","275.62","286.69","289.57","274.09","67.09K","-3.79%"
"09/16/2022","286.47","293.31","296.82","286.43","61.78K","-3.03%"
"09/15/2022","295.42","292.93","297.45","292.89","38.36K","0.13%"
"09/14/2022","295.04","297.12","297.12","291.35","54.00K","-0.88%"
"09/13/2022","297.65","300.42","302.33","295.71","41.76K","-0.90%"
"09/12/2022","300.34","302.63","305.08","300.24","37.55K","-0.76%"
"09/09/2022","302.63","298.93","302.63","294.43","51.98K","1.11%"
"09/08/2022","299.32","301.81","304.13","298.85","62.14K","-0.83%"
"09/07/2022","301.81","313.19","313.19","301.81","75.91K","-3.63%"
"09/06/2022","313.19","312.32","315.12","312.23","51.31K","0.28%"
"09/05/2022","312.32","311.34","314.95","308.86","47.18K","0.31%"
"08/31/2022","311.34","313.98","314.34","311.00","51.23K","-0.85%"
"08/30/2022","314.02","316.70","319.53","313.88","50.31K","-0.85%"
"08/29/2022","316.70","321.40","321.40","307.96","98.86K","-1.46%"
"08/26/2022","321.40","324.29","325.43","319.94","70.81K","-0.89%"
"08/25/2022","324.29","324.25","326.08","324.04","64.61K","0.03%"
"08/24/2022","324.19","321.65","324.19","321.65","55.99K","0.65%"
"08/23/2022","322.10","316.58","322.10","313.95","68.09K","1.74%"
"08/22/2022","316.58","318.23","320.49","314.25","87.82K","-1.17%"
"08/19/2022","320.33","325.10","326.19","319.59","59.05K","-1.46%"
"08/18/2022","325.06","325.07","326.03","322.92","56.20K","0.00%"
"08/17/2022","325.07","329.60","330.31","324.79","75.98K","-0.63%"
"08/16/2022","327.14","327.89","328.96","326.37","53.49K","-0.32%"
"08/15/2022","328.18","329.69","331.15","327.14","60.68K","0.29%"
"08/12/2022","327.23","322.73","327.23","322.30","52.94K","1.39%"
"08/11/2022","322.73","326.90","331.90","322.02","97.95K","-1.25%"
"08/10/2022","326.81","324.37","327.92","322.85","69.39K","0.86%"
"08/09/2022","324.02","324.34","326.10","322.56","66.34K","-0.10%"
"08/08/2022","324.36","323.13","326.66","323.03","68.04K","0.38%"
"08/05/2022","323.13","320.60","323.96","319.02","66.34K","0.79%"
"08/04/2022","320.60","320.69","323.56","319.42","70.03K","-0.03%"
"08/03/2022","320.69","317.16","320.72","316.34","66.03K","1.11%"
