"Date","Price","Open","High","Low","Vol.","Change %"
"03/30/2023","693.83","695.04","696.33","692.76","12.92K","-0.17%"
"03/29/2023","695.04","694.59","696.02","691.68","14.64K","0.06%"
"03/28/2023","694.59","693.25","695.66","690.69","17.91K","0.21%"
"03/27/2023","693.15","691.48","695.22","690.70","13.77K","0.22%"
"03/24/2023","691.61","688.77","692.13","688.38","12.52K","0.41%"
"03/23/2023","688.77","688.51","688.91","685.47","14.15K","0.05%"
"03/22/2023","688.42","686.81","689.37","686.58","8.37K","0.22%"
"03/21/2023","686.94","684.37","687.17","680.29","8.59K","0.41%"
"03/20/2023","684.14","689.89","690.76","682.97","13.17K","-0.87%"
"03/17/2023","690.15","692.18","695.60","688.65","9.27K","-0.29%"
"03/16/2023","692.18","697.97","697.97","690.30","10.33K","-0.78%"
"03/15/2023","697.65","690.95","698.53","690.95","13.89K","0.97%"
"03/14/2023","690.95","695.68","696.56","688.09","17.90K","-0.66%"
"03/13/2023","695.57","698.63","698.89","692.79","14.52K","-0.44%"
"03/10/2023","698.63","701.07","701.07","696.01","12.69K","-0.34%"
"03/09/2023","701.03","698.48","703.51","697.02","14.20K","0.36%"
"03/08/2023","698.52","696.83","698.52","693.64","10.31K","0.26%"
"03/07/2023","696.73","699.17","700.69","695.67","11.41K","-0.34%"
"03/06/2023","699.08","698.30","704.75","696.37","13.26K","0.12%"
"03/03/2023","698.21","697.90","700.06","696.08","13.81K","0.04%"
"03/02/2023","697.90","698.28","702.33","696.38","12.43K","-0.09%"
"03/01/2023","698.54","694.12","698.54","691.86","14.87K","0.63%"
"02/28/2023","694.19","695.23","699.02","691.48","13.87K","-0.11%"
"02/27/2023","694.96","701.14","701.14","693.27","15.35K","-0.88%"
"02/24/2023","701.14","703.58","704.72","698.90","14.58K","-0.33%"
"02/23/2023","703.43","706.63","706.74","693.97","16.59K","-0.40%"
"02/22/2023","706.29","713.48","713.48","706.29","25.63K","-1.01%"
"02/21/2023","713.48","713.17","717.57","710.66","22.62K","0.05%"
"02/20/2023","713.10","700.89","713.31","700.05","23.08K","1.74%"
"02/17/2023","700.89","702.16","705.32","699.07","14.10K","-0.19%"
"02/16/2023","702.22","696.68","702.58","695.66","18.42K","0.80%"
"02/15/2023","696.64","692.80","697.32","689.64","13.82K","0.56%"
"02/14/2023","692.77","689.50","692.77","687.41","10.66K","0.47%"
"02/13/2023","689.55","700.52","701.02","685.90","18.66K","-1.58%"
"02/10/2023","700.64","705.61","706.40","699.07","15.15K","-0.68%"
"02/09/2023","705.47","701.94","706.41","701.43","12.47K","0.51%"
"02/08/2023","701.90","700.25","702.23","696.48","17.19K","0.25%"
"02/07/2023","700.12","704.93","705.53","698.56","15.82K","-0.68%"
"02/06/2023","704.93","704.49","706.07","701.87","14.17K","0.06%"
"02/03/2023","704.49","704.74","707.96","701.86","13.33K","-0.04%"
"02/02/2023","704.74","710.61","712.09","701.99","18.80K","-0.83%"
"02/01/2023","710.61","716.98","723.52","709.68","32.09K","-0.87%"
"01/31/2023","716.85","710.87","716.87","708.10","23.71K","0.86%"
"01/30/2023","710.74","699.72","713.04","699.62","24.56K","1.59%"
"01/27/2023","699.63","691.76","704.19","691.76","17.55K","1.14%"
"01/19/2023","691.72","684.17","691.72","683.40","14.76K","1.10%"
"01/18/2023","684.17","681.80","685.51","681.54","12.47K","0.35%"
"01/17/2023","681.80","676.21","682.14","676.04","12.01K","0.82%"
"01/16/2023","676.28","678.59","679.90","673.07","7.73K","-0.33%"
"01/13/2023","678.53","678.03","682.69","676.24","10.42K","0.08%"
"01/12/2023","677.98","679.40","681.52","675.54","13.13K","-0.20%"
"01/11/2023","679.36","678.51","681.76","675.67","14.56K","0.13%"
"01/10/2023","678.45","671.75","678.52","670.01","12.32K","0.97%"
"01/09/2023","671.91","672.18","675.70","669.65","10.93K","-0.04%"
"01/06/2023","672.18","676.37","678.45","669.30","10.70K","-0.61%"
"01/05/2023","676.31","682.17","684.20","675.10","11.23K","-0.86%"
"01/04/2023","682.17","680.78","685.92","679.59","14.62K","0.15%"
"01/03/2023","681.18","671.28","681.19","670.73","13.25K","1.47%"
"12/30/2022","671.28","669.29","671.28","665.53","8.28K","0.31%"
"12/29/2022","669.20","669.94","672.26","665.95","10.88K","-0.13%"
"12/28/2022","670.10","669.08","672.60","667.53","9.09K","0.15%"
"12/27/2022","669.08","663.37","669.13","659.15","11.56K","0.86%"
"12/26/2022","663.37","672.25","675.05","660.30","17.28K","-1.31%"
"12/23/2022","672.18","668.20","672.32","664.47","10.45K","0.56%"
"12/22/2022","668.42","667.41","671.24","663.87","10.74K","0.11%"
"12/21/2022","667.68","673.51","675.23","662.45","17.10K","-0.86%"
"12/20/2022","673.47","682.80","683.19","664.37","25.76K","-1.37%"
"12/19/2022","682.80","686.12","691.81","682.80","19.81K","-0.48%"
"12/16/2022","686.12","680.59","686.12","677.18","19.81K","0.80%"
"12/15/2022","680.69","680.87","683.92","676.21","17.09K","-0.02%"
"12/14/2022","680.81","673.51","683.17","673.51","20.16K","0.92%"
"12/13/2022","674.60","670.49","674.60","662.07","17.84K","0.53%"
"12/12/2022","671.03","673.15","679.47","669.94","23.35K","-0.30%"
"12/09/2022","673.06","676.16","677.27","668.77","17.19K","-0.45%"
"12/08/2022","676.07","666.91","679.24","665.65","22.94K","1.38%"
