"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2023","1,490.63","1,490.63","1,490.63","1,490.63","","0.31%"
"03/28/2023","1,485.99","1,485.99","1,485.99","1,485.99","","0.13%"
"03/27/2023","1,484.07","1,484.07","1,484.07","1,484.07","","0.54%"
"03/24/2023","1,476.17","1,476.17","1,476.17","1,476.17","","0.40%"
"03/23/2023","1,470.27","1,470.27","1,470.27","1,470.27","","0.51%"
"03/22/2023","1,462.76","1,462.76","1,462.76","1,462.76","","0.61%"
"03/21/2023","1,453.94","1,453.94","1,453.94","1,453.94","","1.16%"
"03/20/2023","1,437.27","1,437.27","1,437.27","1,437.27","","-2.12%"
"03/17/2023","1,468.35","1,468.35","1,468.35","1,468.35","","-0.21%"
"03/16/2023","1,471.51","1,471.51","1,471.51","1,471.51","","-1.44%"
"03/15/2023","1,492.94","1,492.94","1,492.94","1,492.94","","2.59%"
"03/14/2023","1,455.31","1,455.31","1,455.31","1,455.31","","-1.35%"
"03/13/2023","1,475.18","1,475.18","1,475.18","1,475.18","","0.18%"
"03/10/2023","1,472.53","1,472.53","1,472.53","1,472.53","","-0.02%"
"03/09/2023","1,472.88","1,472.88","1,472.88","1,472.88","","0.63%"
"03/08/2023","1,463.67","1,463.67","1,463.67","1,463.67","","1.20%"
"03/07/2023","1,446.26","1,446.26","1,446.26","1,446.26","","1.28%"
"03/06/2023","1,427.98","1,427.98","1,427.98","1,427.98","","0.28%"
"03/03/2023","1,424.01","1,424.01","1,424.01","1,424.01","","-1.47%"
"03/02/2023","1,445.19","1,445.19","1,445.19","1,445.19","","-0.49%"
"03/01/2023","1,452.31","1,452.31","1,452.31","1,452.31","","1.48%"
"02/28/2023","1,431.11","1,431.11","1,431.11","1,431.11","","0.55%"
"02/27/2023","1,423.26","1,423.26","1,423.26","1,423.26","","-2.29%"
"02/24/2023","1,456.63","1,456.63","1,456.63","1,456.63","","-1.79%"
"02/23/2023","1,483.25","1,483.25","1,483.25","1,483.25","","-0.33%"
"02/22/2023","1,488.14","1,488.14","1,488.14","1,488.14","","-3.05%"
"02/21/2023","1,534.96","1,534.96","1,534.96","1,534.96","","-0.42%"
"02/20/2023","1,541.43","1,541.43","1,541.43","1,541.43","","2.97%"
"02/17/2023","1,496.93","1,496.93","1,496.93","1,496.93","","-0.10%"
"02/16/2023","1,498.50","1,498.50","1,498.50","1,498.50","","1.08%"
"02/15/2023","1,482.49","1,482.49","1,482.49","1,482.49","","0.74%"
"02/14/2023","1,471.56","1,471.56","1,471.56","1,471.56","","-0.30%"
"02/13/2023","1,476.06","1,476.06","1,476.06","1,476.06","","-1.28%"
"02/10/2023","1,495.13","1,495.13","1,495.13","1,495.13","","-0.78%"
"02/09/2023","1,506.92","1,506.92","1,506.92","1,506.92","","-1.03%"
"02/08/2023","1,522.53","1,522.53","1,522.53","1,522.53","","0.31%"
"02/07/2023","1,517.80","1,517.80","1,517.80","1,517.80","","-2.49%"
"02/06/2023","1,556.60","1,556.60","1,556.60","1,556.60","","0.84%"
"02/03/2023","1,543.68","1,543.68","1,543.68","1,543.68","","-0.31%"
"02/02/2023","1,548.48","1,548.48","1,548.48","1,548.48","","0.32%"
"02/01/2023","1,543.56","1,543.56","1,543.56","1,543.56","","-3.51%"
"01/31/2023","1,599.77","1,599.77","1,599.77","1,599.77","","-0.68%"
"01/27/2023","1,610.76","1,610.76","1,610.76","1,610.76","","0.97%"
"01/19/2023","1,595.27","1,595.27","1,595.27","1,595.27","","0.70%"
"01/18/2023","1,584.22","1,584.22","1,584.22","1,584.22","","1.18%"
"01/17/2023","1,565.77","1,565.77","1,565.77","1,565.77","","2.63%"
"01/16/2023","1,525.67","1,525.67","1,525.67","1,525.67","","0.11%"
"01/13/2023","1,524.00","1,524.00","1,524.00","1,524.00","","0.29%"
"01/12/2023","1,519.56","1,519.56","1,519.56","1,519.56","","-0.19%"
"01/11/2023","1,522.44","1,522.44","1,522.44","1,522.44","","0.47%"
"01/10/2023","1,515.29","1,515.29","1,515.29","1,515.29","","-0.18%"
"01/09/2023","1,518.08","1,518.08","1,518.08","1,518.08","","0.19%"
"01/06/2023","1,515.16","1,515.16","1,515.16","1,515.16","","-0.91%"
"01/05/2023","1,529.08","1,529.08","1,529.08","1,529.08","","1.07%"
"01/04/2023","1,512.84","1,512.84","1,512.84","1,512.84","","0.36%"
"01/03/2023","1,507.43","1,507.43","1,507.43","1,507.43","","3.88%"
"12/30/2022","1,451.11","1,451.11","1,451.11","1,451.11","","-0.07%"
"12/29/2022","1,452.11","1,452.11","1,452.11","1,452.11","","-0.44%"
"12/28/2022","1,458.52","1,458.52","1,458.52","1,458.52","","0.90%"
"12/27/2022","1,445.54","1,445.54","1,445.54","1,445.54","","2.32%"
"12/26/2022","1,412.73","1,412.73","1,412.73","1,412.73","","-4.42%"
"12/23/2022","1,478.03","1,478.03","1,478.03","1,478.03","","-0.47%"
"12/22/2022","1,485.07","1,485.07","1,485.07","1,485.07","","0.40%"
"12/21/2022","1,479.21","1,479.21","1,479.21","1,479.21","","-0.39%"
"12/20/2022","1,484.96","1,484.96","1,484.96","1,484.96","","-1.64%"
"12/19/2022","1,509.71","1,509.71","1,509.71","1,509.71","","-1.49%"
"12/16/2022","1,532.56","1,532.56","1,532.56","1,532.56","","-0.48%"
"12/15/2022","1,540.01","1,540.01","1,540.01","1,540.01","","0.44%"
"12/14/2022","1,533.27","1,533.27","1,533.27","1,533.27","","-0.13%"
"12/13/2022","1,535.34","1,535.34","1,535.34","1,535.34","","1.60%"
"12/12/2022","1,511.18","1,511.18","1,511.18","1,511.18","","-2.77%"
"12/09/2022","1,554.16","1,554.16","1,554.16","1,554.16","","-0.04%"
"12/08/2022","1,554.74","1,554.74","1,554.74","1,554.74","","0.98%"
"12/07/2022","1,539.58","1,539.58","1,539.58","1,539.58","","-0.13%"
"12/06/2022","1,541.63","1,541.63","1,541.63","1,541.63","","-4.43%"
"12/05/2022","1,613.08","1,613.08","1,613.08","1,613.08","","1.51%"
"12/02/2022","1,589.12","1,589.12","1,589.12","1,589.12","","4.92%"
"12/01/2022","1,514.55","1,514.55","1,514.55","1,514.55","","-1.35%"
"11/30/2022","1,535.35","1,535.35","1,535.35","1,535.35","","2.18%"
"11/29/2022","1,502.62","1,502.62","1,502.62","1,502.62","","3.45%"
"11/28/2022","1,452.49","1,452.49","1,452.49","1,452.49","","3.94%"
"11/25/2022","1,397.44","1,397.44","1,397.44","1,397.44","","3.30%"
"11/24/2022","1,352.85","1,352.85","1,352.85","1,352.85","","0.22%"
"11/23/2022","1,349.86","1,349.86","1,349.86","1,349.86","","-1.06%"
"11/22/2022","1,364.32","1,364.32","1,364.32","1,364.32","","-1.21%"
"11/21/2022","1,381.08","1,381.08","1,381.08","1,381.08","","-1.27%"
"11/18/2022","1,398.82","1,398.82","1,398.82","1,398.82","","0.26%"
"11/17/2022","1,395.19","1,395.19","1,395.19","1,395.19","","3.72%"
"11/16/2022","1,345.17","1,345.17","1,345.17","1,345.17","","3.66%"
"11/15/2022","1,297.70","1,297.70","1,297.70","1,297.70","","-2.68%"
"11/14/2022","1,333.40","1,333.40","1,333.40","1,333.40","","-1.43%"
"11/11/2022","1,352.68","1,352.68","1,352.68","1,352.68","","0.77%"
"11/10/2022","1,342.41","1,342.41","1,342.41","1,342.41","","-4.38%"
"11/09/2022","1,403.84","1,403.84","1,403.84","1,403.84","","-0.14%"
"11/08/2022","1,405.78","1,405.78","1,405.78","1,405.78","","0.30%"
"11/07/2022","1,401.51","1,401.51","1,401.51","1,401.51","","-2.84%"
"11/04/2022","1,442.42","1,442.42","1,442.42","1,442.42","","-2.75%"
"11/03/2022","1,483.15","1,483.15","1,483.15","1,483.15","","0.04%"
"11/02/2022","1,482.62","1,482.62","1,482.62","1,482.62","","-1.32%"
"11/01/2022","1,502.47","1,502.47","1,502.47","1,502.47","","0.53%"
"10/31/2022","1,494.48","1,494.48","1,494.48","1,494.48","","-0.38%"
"10/28/2022","1,500.22","1,500.22","1,500.22","1,500.22","","0.02%"
"10/27/2022","1,499.93","1,499.93","1,499.93","1,499.93","","3.43%"
"10/26/2022","1,450.25","1,450.25","1,450.25","1,450.25","","-0.75%"
"10/25/2022","1,461.25","1,461.25","1,461.25","1,461.25","","1.13%"
"10/24/2022","1,444.90","1,444.90","1,444.90","1,444.90","","-3.76%"
"10/21/2022","1,501.34","1,501.34","1,501.34","1,501.34","","-4.36%"
"10/20/2022","1,569.80","1,569.80","1,569.80","1,569.80","","-0.38%"
"10/19/2022","1,575.84","1,575.84","1,575.84","1,575.84","","-0.52%"
"10/18/2022","1,584.01","1,584.01","1,584.01","1,584.01","","1.17%"
"10/17/2022","1,565.68","1,565.68","1,565.68","1,565.68","","-1.11%"
"10/14/2022","1,583.26","1,583.26","1,583.26","1,583.26","","0.87%"
"10/13/2022","1,569.59","1,569.59","1,569.59","1,569.59","","1.17%"
"10/12/2022","1,551.42","1,551.42","1,551.42","1,551.42","","3.01%"
"10/11/2022","1,506.02","1,506.02","1,506.02","1,506.02","","-3.44%"
"10/10/2022","1,559.66","1,559.66","1,559.66","1,559.66","","0.78%"
"10/07/2022","1,547.58","1,547.58","1,547.58","1,547.58","","-3.20%"
"10/06/2022","1,598.68","1,598.68","1,598.68","1,598.68","","-3.31%"
"10/05/2022","1,653.45","1,653.45","1,653.45","1,653.45","","2.80%"
"10/04/2022","1,608.47","1,608.47","1,608.47","1,608.47","","-0.71%"
"10/03/2022","1,620.02","1,620.02","1,620.02","1,620.02","","-4.36%"
"09/30/2022","1,693.88","1,693.88","1,693.88","1,693.88","","0.51%"
"09/29/2022","1,685.31","1,685.31","1,685.31","1,685.31","","-1.57%"
"09/28/2022","1,712.13","1,712.13","1,712.13","1,712.13","","-2.17%"
"09/27/2022","1,750.17","1,750.17","1,750.17","1,750.17","","-0.88%"
"09/26/2022","1,765.75","1,765.75","1,765.75","1,765.75","","-2.73%"
"09/23/2022","1,815.33","1,815.33","1,815.33","1,815.33","","-1.11%"
"09/22/2022","1,835.70","1,835.70","1,835.70","1,835.70","","0.27%"
"09/21/2022","1,830.72","1,830.72","1,830.72","1,830.72","","-0.84%"
"09/20/2022","1,846.19","1,846.19","1,846.19","1,846.19","","1.24%"
"09/19/2022","1,823.51","1,823.51","1,823.51","1,823.51","","-2.31%"
"09/16/2022","1,866.63","1,866.63","1,866.63","1,866.63","","-1.01%"
"09/15/2022","1,885.68","1,885.68","1,885.68","1,885.68","","0.16%"
"09/14/2022","1,882.68","1,882.68","1,882.68","1,882.68","","-0.58%"
"09/13/2022","1,893.60","1,893.60","1,893.60","1,893.60","","-0.22%"
"09/12/2022","1,897.85","1,897.85","1,897.85","1,897.85","","0.11%"
"09/09/2022","1,895.82","1,895.82","1,895.82","1,895.82","","1.21%"
"09/08/2022","1,873.17","1,873.17","1,873.17","1,873.17","","-0.14%"
"09/07/2022","1,875.81","1,875.81","1,875.81","1,875.81","","-2.68%"
"09/06/2022","1,927.37","1,927.37","1,927.37","1,927.37","","-0.03%"
"09/05/2022","1,928.03","1,928.03","1,928.03","1,928.03","","0.15%"
"08/31/2022","1,925.10","1,925.10","1,925.10","1,925.10","","0.18%"
"08/30/2022","1,921.64","1,921.64","1,921.64","1,921.64","","0.13%"
"08/29/2022","1,919.15","1,919.15","1,919.15","1,919.15","","-1.05%"
"08/26/2022","1,939.42","1,939.42","1,939.42","1,939.42","","-0.56%"
"08/25/2022","1,950.28","1,950.28","1,950.28","1,950.28","","1.20%"
"08/24/2022","1,927.20","1,927.20","1,927.20","1,927.20","","0.44%"
"08/23/2022","1,918.74","1,918.74","1,918.74","1,918.74","","0.79%"
"08/22/2022","1,903.73","1,903.73","1,903.73","1,903.73","","-0.82%"
"08/19/2022","1,919.48","0.00","0.00","0.00","","-0.63%"
"08/18/2022","1,931.66","1,931.66","1,931.66","1,931.66","","-0.04%"
"08/17/2022","1,932.50","1,932.50","1,932.50","1,932.50","","0.34%"
"08/16/2022","1,925.94","1,925.94","1,925.94","1,925.94","","0.21%"
"08/15/2022","1,921.98","1,921.98","1,921.98","1,921.98","","0.91%"
"08/12/2022","1,904.57","1,904.57","1,904.57","1,904.57","","0.89%"
"08/11/2022","1,887.78","1,887.78","1,887.78","1,887.78","","-0.60%"
"08/10/2022","1,899.09","1,899.09","1,899.09","1,899.09","","-0.19%"
"08/09/2022","1,902.79","1,902.79","1,902.79","1,902.79","","0.38%"
"08/08/2022","1,895.64","1,895.64","1,895.64","1,895.64","","0.33%"
"08/05/2022","1,889.43","1,889.43","1,889.43","1,889.43","","-0.19%"
"08/04/2022","1,893.10","1,893.10","1,893.10","1,893.10","","0.40%"
"08/03/2022","1,885.65","1,885.65","1,885.65","1,885.65","","0.51%"
"08/02/2022","1,876.08","1,876.08","1,876.08","1,876.08","","0.92%"
"08/01/2022","1,859.04","1,859.04","1,859.04","1,859.04","","2.30%"
"07/29/2022","1,817.18","1,817.18","1,817.18","1,817.18","","-0.72%"
"07/28/2022","1,830.39","1,830.39","1,830.39","1,830.39","","1.38%"
"07/27/2022","1,805.40","1,805.40","1,805.40","1,805.40","","0.32%"
"07/26/2022","1,799.73","1,799.73","1,799.73","1,799.73","","-0.51%"
"07/25/2022","1,809.00","1,809.00","1,809.00","1,809.00","","-0.42%"
"07/22/2022","1,816.72","1,816.72","1,816.72","1,816.72","","-0.60%"
"07/21/2022","1,827.74","1,827.74","1,827.74","1,827.74","","0.62%"
"07/20/2022","1,816.54","1,816.54","1,816.54","1,816.54","","1.37%"
"07/19/2022","1,792.03","1,792.03","1,792.03","1,792.03","","-0.08%"
"07/18/2022","1,793.48","1,793.48","1,793.48","1,793.48","","-0.49%"
"07/15/2022","1,802.37","1,802.37","1,802.37","1,802.37","","-0.19%"
"07/14/2022","1,805.78","1,805.78","1,805.78","1,805.78","","0.65%"
"07/13/2022","1,794.13","1,794.13","1,794.13","1,794.13","","-0.29%"
"07/12/2022","1,799.39","1,799.39","1,799.39","1,799.39","","1.21%"
"07/11/2022","1,777.95","1,777.95","1,777.95","1,777.95","","-1.45%"
"07/08/2022","1,804.19","1,804.19","1,804.19","1,804.19","","0.91%"
"07/07/2022","1,787.93","1,787.93","1,787.93","1,787.93","","1.92%"
"07/06/2022","1,754.18","1,754.18","1,754.18","1,754.18","","-2.80%"
"07/05/2022","1,804.68","1,804.68","1,804.68","1,804.68","","-1.60%"
"07/04/2022","1,833.94","1,833.94","1,833.94","1,833.94","","-0.37%"
"07/01/2022","1,840.68","1,840.68","1,840.68","1,840.68","","0.10%"
"06/30/2022","1,838.76","1,838.76","1,838.76","1,838.76","","-1.90%"
"06/29/2022","1,874.46","1,874.46","1,874.46","1,874.46","","0.11%"
"06/28/2022","1,872.37","1,872.37","1,872.37","1,872.37","","0.75%"
"06/27/2022","1,858.46","1,858.46","1,858.46","1,858.46","","1.82%"
"06/24/2022","1,825.32","1,825.32","1,825.32","1,825.32","","-0.20%"
"06/23/2022","1,828.96","1,828.96","1,828.96","1,828.96","","1.62%"
"06/22/2022","1,799.84","1,799.84","1,799.84","1,799.84","","-0.25%"
"06/21/2022","1,804.33","1,804.33","1,804.33","1,804.33","","-1.00%"
"06/20/2022","1,822.50","1,822.50","1,822.50","1,822.50","","-3.08%"
"06/17/2022","1,880.32","1,880.32","1,880.32","1,880.32","","-1.32%"
"06/16/2022","1,905.53","1,905.53","1,905.53","1,905.53","","2.09%"
"06/15/2022","1,866.55","1,866.55","1,866.55","1,866.55","","-1.14%"
"06/14/2022","1,888.09","1,888.09","1,888.09","1,888.09","","-0.32%"
"06/13/2022","1,894.24","1,894.24","1,894.24","1,894.24","","-4.87%"
