"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2023","321.80","321.80","321.80","321.80","","0.52%"
"03/28/2023","320.14","320.14","320.14","320.14","","-0.08%"
"03/27/2023","320.39","320.39","320.39","320.39","","0.59%"
"03/24/2023","318.50","318.50","318.50","318.50","","0.22%"
"03/23/2023","317.81","317.81","317.81","317.81","","0.71%"
"03/22/2023","315.57","315.57","315.57","315.57","","1.15%"
"03/21/2023","311.99","311.99","311.99","311.99","","1.50%"
"03/20/2023","307.38","307.38","307.38","307.38","","-2.32%"
"03/17/2023","314.67","314.67","314.67","314.67","","-0.54%"
"03/16/2023","316.39","316.39","316.39","316.39","","-1.48%"
"03/15/2023","321.13","321.13","321.13","321.13","","2.66%"
"03/14/2023","312.81","312.81","312.81","312.81","","-1.55%"
"03/13/2023","317.73","317.73","317.73","317.73","","0.96%"
"03/10/2023","314.72","314.72","314.72","314.72","","0.57%"
"03/09/2023","312.95","312.95","312.95","312.95","","0.52%"
"03/08/2023","311.34","311.34","311.34","311.34","","0.88%"
"03/07/2023","308.61","308.61","308.61","308.61","","1.75%"
"03/06/2023","303.29","303.29","303.29","303.29","","0.41%"
"03/03/2023","302.06","302.06","302.06","302.06","","-1.44%"
"03/02/2023","306.48","306.48","306.48","306.48","","-0.53%"
"03/01/2023","308.11","308.11","308.11","308.11","","1.55%"
"02/28/2023","303.41","303.41","303.41","303.41","","1.03%"
"02/27/2023","300.32","300.32","300.32","300.32","","-2.33%"
"02/24/2023","307.49","307.49","307.49","307.49","","-1.77%"
"02/23/2023","313.03","313.03","313.03","313.03","","-0.83%"
"02/22/2023","315.66","315.66","315.66","315.66","","-3.58%"
"02/21/2023","327.38","327.38","327.38","327.38","","-0.29%"
"02/20/2023","328.34","328.34","328.34","328.34","","3.66%"
"02/17/2023","316.76","316.76","316.76","316.76","","-0.76%"
"02/16/2023","319.17","319.17","319.17","319.17","","0.77%"
"02/15/2023","316.74","316.74","316.74","316.74","","0.53%"
"02/14/2023","315.06","315.06","315.06","315.06","","-0.58%"
"02/13/2023","316.90","316.90","316.90","316.90","","-1.24%"
"02/10/2023","320.87","320.87","320.87","320.87","","-0.37%"
"02/09/2023","322.06","322.06","322.06","322.06","","-1.22%"
"02/08/2023","326.04","326.04","326.04","326.04","","0.32%"
"02/07/2023","325.00","325.00","325.00","325.00","","-3.36%"
