"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2023","471.57","471.57","471.57","471.57","","0.51%"
"03/28/2023","469.19","469.19","469.19","469.19","","-0.10%"
"03/27/2023","469.66","469.66","469.66","469.66","","0.59%"
"03/24/2023","466.89","466.89","466.89","466.89","","0.26%"
"03/23/2023","465.68","465.68","465.68","465.68","","0.62%"
"03/22/2023","462.79","462.79","462.79","462.79","","0.87%"
"03/21/2023","458.81","458.81","458.81","458.81","","1.48%"
"03/20/2023","452.12","452.12","452.12","452.12","","-2.32%"
"03/17/2023","462.85","462.85","462.85","462.85","","-0.48%"
"03/16/2023","465.07","465.07","465.07","465.07","","-1.48%"
"03/15/2023","472.05","472.05","472.05","472.05","","2.68%"
"03/14/2023","459.71","459.71","459.71","459.71","","-1.53%"
"03/13/2023","466.86","466.86","466.86","466.86","","0.47%"
"03/10/2023","464.69","464.69","464.69","464.69","","0.46%"
"03/09/2023","462.56","462.56","462.56","462.56","","0.43%"
"03/08/2023","460.58","460.58","460.58","460.58","","1.27%"
"03/07/2023","454.80","454.80","454.80","454.80","","1.58%"
"03/06/2023","447.72","447.72","447.72","447.72","","0.19%"
"03/03/2023","446.85","446.85","446.85","446.85","","-1.38%"
"03/02/2023","453.10","453.10","453.10","453.10","","-0.59%"
"03/01/2023","455.78","455.78","455.78","455.78","","1.33%"
"02/28/2023","449.79","449.79","449.79","449.79","","0.88%"
"02/27/2023","445.87","445.87","445.87","445.87","","-2.25%"
"02/24/2023","456.12","456.12","456.12","456.12","","-1.85%"
"02/23/2023","464.73","464.73","464.73","464.73","","-0.56%"
"02/22/2023","467.36","467.36","467.36","467.36","","-3.38%"
"02/21/2023","483.69","483.69","483.69","483.69","","-0.35%"
"02/20/2023","485.41","485.41","485.41","485.41","","3.20%"
"02/17/2023","470.36","470.36","470.36","470.36","","-0.19%"
"02/16/2023","471.25","471.25","471.25","471.25","","0.98%"
"02/15/2023","466.68","466.68","466.68","466.68","","0.60%"
"02/14/2023","463.91","463.91","463.91","463.91","","-0.52%"
"02/13/2023","466.32","466.32","466.32","466.32","","-1.11%"
"02/10/2023","471.57","471.57","471.57","471.57","","-0.41%"
"02/09/2023","473.51","473.51","473.51","473.51","","-1.31%"
"02/08/2023","479.78","479.78","479.78","479.78","","0.45%"
"02/07/2023","477.63","477.63","477.63","477.63","","-3.01%"
"02/06/2023","492.47","492.47","492.47","492.47","","0.73%"
"02/03/2023","488.91","488.91","488.91","488.91","","0.19%"
"02/02/2023","487.96","487.96","487.96","487.96","","0.27%"
"02/01/2023","486.66","486.66","486.66","486.66","","-4.08%"
"01/31/2023","507.34","507.34","507.34","507.34","","-1.16%"
"01/27/2023","513.29","513.29","513.29","513.29","","0.98%"
"01/19/2023","508.32","508.32","508.32","508.32","","0.64%"
"01/18/2023","505.07","505.07","505.07","505.07","","1.12%"
"01/17/2023","499.49","499.49","499.49","499.49","","3.08%"
"01/16/2023","484.58","484.58","484.58","484.58","","-0.15%"
"01/13/2023","485.32","485.32","485.32","485.32","","0.34%"
"01/12/2023","483.66","483.66","483.66","483.66","","-0.12%"
"01/11/2023","484.23","484.23","484.23","484.23","","0.54%"
"01/10/2023","481.64","481.64","481.64","481.64","","0.01%"
"01/09/2023","481.61","481.61","481.61","481.61","","0.47%"
"01/06/2023","479.36","479.36","479.36","479.36","","-1.49%"
"01/05/2023","486.63","486.63","486.63","486.63","","1.32%"
"01/04/2023","480.28","480.28","480.28","480.28","","0.63%"
