"Date","Price","Open","High","Low","Vol.","Change %"
"03/30/2023","76.49","76.74","76.89","76.23","27.26K","-0.31%"
"03/29/2023","76.73","75.59","76.73","75.59","20.61K","1.52%"
"03/28/2023","75.58","75.70","75.94","75.38","25.57K","-0.13%"
"03/27/2023","75.68","76.17","76.46","75.33","19.99K","-0.64%"
"03/24/2023","76.17","76.17","76.49","75.92","29.78K","0.00%"
"03/23/2023","76.17","75.90","76.17","75.85","16.10K","0.36%"
"03/22/2023","75.90","75.69","76.20","75.47","18.56K","0.30%"
"03/21/2023","75.67","76.03","76.27","75.39","21.64K","-0.46%"
"03/20/2023","76.02","76.43","76.46","75.83","31.70K","-0.54%"
"03/17/2023","76.43","76.02","76.43","75.90","34.22K","0.54%"
"03/16/2023","76.02","76.60","76.61","75.78","27.73K","-0.74%"
"03/15/2023","76.59","75.78","77.01","75.76","26.58K","1.08%"
"03/14/2023","75.77","76.38","76.57","75.61","28.38K","-0.80%"
"03/13/2023","76.38","76.78","76.80","76.26","23.56K","-0.51%"
"03/10/2023","76.77","76.61","76.88","76.40","34.99K","0.22%"
"03/09/2023","76.60","76.49","76.64","76.33","23.40K","0.14%"
"03/08/2023","76.49","76.18","76.50","75.96","24.54K","0.42%"
"03/07/2023","76.17","76.00","76.35","75.87","16.88K","0.22%"
"03/06/2023","76.00","75.81","76.47","75.78","19.62K","0.26%"
"03/03/2023","75.80","76.28","76.54","75.76","34.09K","-0.63%"
"03/02/2023","76.28","76.64","77.02","76.08","16.07K","-0.47%"
"03/01/2023","76.64","76.44","76.64","75.97","23.23K","0.26%"
"02/28/2023","76.44","75.85","76.48","75.63","17.75K","0.78%"
"02/27/2023","75.85","76.74","76.82","75.75","26.95K","-1.15%"
"02/24/2023","76.73","77.39","77.64","76.42","35.75K","-0.87%"
"02/23/2023","77.40","77.45","77.48","76.21","34.27K","-0.06%"
"02/22/2023","77.45","78.19","78.97","77.34","51.49K","-0.93%"
"02/21/2023","78.18","78.84","78.91","77.89","41.15K","-0.82%"
