"Date","Price","Open","High","Low","Vol.","Change %"
"03/30/2023","1,010.53","1,013.72","1,016.97","1,009.87","533.89K","0.30%"
"03/29/2023","1,007.52","1,006.48","1,007.52","1,000.31","397.59K","0.20%"
"03/28/2023","1,005.49","1,008.62","1,011.65","1,003.71","553.55K","0.13%"
"03/27/2023","1,004.17","999.72","1,006.08","995.30","488.70K","0.58%"
"03/24/2023","998.41","996.74","1,002.41","994.90","481.96K","0.46%"
"03/23/2023","993.84","985.15","993.84","981.59","347.41K","0.45%"
"03/22/2023","989.40","984.50","991.90","984.50","360.37K","0.53%"
"03/21/2023","984.15","980.33","984.25","967.36","359.79K","0.99%"
"03/20/2023","974.51","991.13","991.47","973.12","436.68K","-2.11%"
"03/17/2023","995.49","1,000.93","1,002.48","991.69","464.61K","0.13%"
"03/16/2023","994.24","1,002.79","1,004.25","988.86","430.24K","-1.50%"
"03/15/2023","1,009.38","986.98","1,009.38","986.98","517.93K","2.66%"
"03/14/2023","983.20","995.48","997.06","979.02","518.61K","-1.39%"
"03/13/2023","997.01","991.72","1,001.25","991.03","488.94K","-0.07%"
"03/10/2023","997.73","996.64","999.71","991.00","415.74K","-0.39%"
"03/09/2023","1,001.60","995.50","1,006.63","994.76","513.55K","0.82%"
"03/08/2023","993.44","971.85","993.44","971.18","448.62K","1.35%"
"03/07/2023","980.24","978.39","986.97","976.29","395.89K","1.10%"
"03/06/2023","969.58","976.35","985.17","969.28","356.18K","0.31%"
"03/03/2023","966.54","981.72","985.53","965.79","358.00K","-1.45%"
"03/02/2023","980.79","984.44","988.92","977.84","292.65K","-0.36%"
"03/01/2023","984.36","964.77","984.36","954.89","436.38K","1.88%"
"02/28/2023","966.19","969.82","976.55","961.16","327.57K","0.33%"
"02/27/2023","963.06","982.32","982.32","960.94","453.61K","-2.14%"
"02/24/2023","984.15","1,001.68","1,001.80","981.68","352.05K","-1.85%"
"02/23/2023","1,002.73","1,002.12","1,002.73","979.16","572.30K","-0.03%"
"02/22/2023","1,003.01","1,028.83","1,028.83","1,003.01","716.83K","-2.75%"
"02/21/2023","1,031.35","1,040.15","1,045.74","1,031.35","605.91K","-0.49%"
"02/20/2023","1,036.41","1,005.47","1,036.41","1,005.47","579.97K","3.08%"
"02/17/2023","1,005.48","1,005.93","1,009.80","999.70","398.18K","0.02%"
"02/16/2023","1,005.31","997.60","1,005.31","991.98","381.97K","1.22%"
"02/15/2023","993.16","982.60","998.19","979.62","452.96K","0.94%"
"02/14/2023","983.94","987.35","989.78","979.34","310.88K","-0.13%"
"02/13/2023","985.24","995.68","996.89","973.55","543.43K","-1.53%"
"02/10/2023","1,000.57","1,012.49","1,014.82","1,000.42","368.78K","-1.14%"
"02/09/2023","1,012.09","1,018.38","1,023.55","1,012.09","352.83K","-0.77%"
"02/08/2023","1,019.98","1,019.88","1,028.20","1,008.83","433.33K","0.32%"
"02/07/2023","1,016.69","1,040.35","1,042.91","1,016.24","542.44K","-2.17%"
"02/06/2023","1,039.28","1,030.98","1,039.28","1,021.78","372.07K","0.81%"
"02/03/2023","1,030.98","1,039.13","1,041.30","1,027.16","457.30K","-0.64%"
"02/02/2023","1,037.63","1,042.26","1,045.77","1,029.21","525.28K","-0.05%"
"02/01/2023","1,038.18","1,077.35","1,079.97","1,038.18","893.23K","-3.35%"
"01/31/2023","1,074.15","1,062.28","1,074.15","1,050.94","588.98K","0.97%"
"01/30/2023","1,063.80","1,077.41","1,077.68","1,063.80","669.56K","-1.11%"
"01/27/2023","1,075.75","1,073.59","1,084.18","1,071.73","515.90K","0.86%"
"01/19/2023","1,066.54","1,055.68","1,068.13","1,054.67","519.05K","0.65%"
"01/18/2023","1,059.66","1,052.39","1,060.90","1,049.81","490.15K","1.05%"
"01/17/2023","1,048.60","1,026.11","1,048.60","1,026.11","541.65K","2.39%"
"01/16/2023","1,024.13","1,022.15","1,025.29","1,016.53","359.98K","0.41%"
"01/13/2023","1,019.91","1,022.29","1,026.99","1,014.53","430.37K","0.30%"
"01/12/2023","1,016.91","1,020.42","1,022.53","1,011.23","343.91K","0.01%"
"01/11/2023","1,016.76","1,018.68","1,027.47","1,016.32","454.51K","0.34%"
"01/10/2023","1,013.34","1,014.68","1,017.42","1,003.56","374.81K","0.00%"
"01/09/2023","1,013.38","1,019.33","1,022.71","1,010.50","340.42K","0.11%"
"01/06/2023","1,012.26","1,016.67","1,028.99","1,008.58","556.16K","-0.50%"
"01/05/2023","1,017.38","1,010.54","1,020.74","1,007.48","442.98K","0.93%"
"01/04/2023","1,008.04","1,010.40","1,016.54","1,004.69","500.54K","0.19%"
"01/03/2023","1,006.13","974.35","1,006.13","974.16","458.43K","3.66%"
"12/30/2022","970.65","975.55","976.42","967.93","302.42K","0.12%"
"12/29/2022","969.52","974.90","980.59","969.52","332.97K","-0.58%"
"12/28/2022","975.15","969.37","980.70","958.76","351.24K","0.89%"
"12/27/2022","966.51","943.50","968.70","941.04","451.69K","2.33%"
"12/26/2022","944.52","985.84","986.34","944.52","502.26K","-4.35%"
"12/23/2022","987.44","990.60","992.29","977.52","373.87K","-0.46%"
"12/22/2022","992.03","988.57","998.98","982.31","478.21K","0.48%"
