"Date","Price","Open","High","Low","Vol.","Change %"
"03/30/2023","1,296.88","1,309.77","1,311.19","1,295.33","231.54K","-0.19%"
"03/29/2023","1,299.41","1,299.93","1,301.13","1,291.08","174.83K","0.09%"
"03/28/2023","1,298.19","1,306.09","1,309.42","1,295.35","228.71K","-0.10%"
"03/27/2023","1,299.44","1,291.67","1,299.67","1,287.67","216.91K","0.74%"
"03/24/2023","1,289.84","1,288.66","1,294.13","1,285.24","216.34K","0.49%"
"03/23/2023","1,283.58","1,266.18","1,283.58","1,262.85","169.88K","0.85%"
"03/22/2023","1,272.73","1,272.25","1,280.19","1,271.23","151.59K","0.06%"
"03/21/2023","1,271.97","1,266.15","1,271.97","1,249.17","154.82K","0.98%"
"03/20/2023","1,259.62","1,283.05","1,285.12","1,258.99","203.20K","-2.03%"
"03/17/2023","1,285.74","1,293.35","1,296.20","1,280.07","216.91K","0.24%"
"03/16/2023","1,282.65","1,291.16","1,291.16","1,278.45","199.45K","-1.23%"
"03/15/2023","1,298.68","1,270.50","1,299.11","1,270.50","214.04K","2.79%"
"03/14/2023","1,263.40","1,286.20","1,288.12","1,257.57","239.94K","-1.75%"
"03/13/2023","1,285.90","1,282.57","1,295.04","1,282.45","188.74K","-0.69%"
"03/10/2023","1,294.81","1,296.65","1,298.57","1,286.13","200.16K","-0.55%"
"03/09/2023","1,302.02","1,297.37","1,307.70","1,294.73","229.72K","0.65%"
"03/08/2023","1,293.55","1,264.84","1,293.55","1,259.57","197.22K","1.53%"
"03/07/2023","1,274.07","1,270.22","1,275.12","1,263.74","168.58K","0.88%"
"03/06/2023","1,262.98","1,268.69","1,278.15","1,259.43","158.56K","0.86%"
"03/03/2023","1,252.15","1,273.75","1,279.46","1,252.15","179.76K","-1.57%"
"03/02/2023","1,272.13","1,275.16","1,281.97","1,267.84","128.74K","0.13%"
"03/01/2023","1,270.54","1,244.77","1,270.54","1,236.85","208.89K","1.86%"
"02/28/2023","1,247.31","1,251.61","1,259.45","1,239.45","133.09K","0.39%"
"02/27/2023","1,242.52","1,276.91","1,276.91","1,242.52","195.64K","-2.89%"
"02/24/2023","1,279.50","1,305.64","1,306.95","1,275.81","140.00K","-1.81%"
"02/23/2023","1,303.08","1,302.90","1,306.11","1,268.29","245.48K","-0.07%"
"02/22/2023","1,304.04","1,338.78","1,338.78","1,304.04","314.25K","-2.96%"
"02/21/2023","1,343.80","1,358.01","1,364.23","1,343.80","261.35K","-0.48%"
"02/20/2023","1,350.28","1,315.06","1,350.28","1,315.06","258.86K","2.90%"
"02/17/2023","1,312.23","1,310.34","1,320.51","1,303.72","173.50K","0.39%"
"02/16/2023","1,307.14","1,295.89","1,307.14","1,289.78","170.96K","1.39%"
"02/15/2023","1,289.28","1,277.00","1,298.05","1,275.03","168.41K","1.01%"
"02/14/2023","1,276.36","1,276.69","1,284.85","1,268.99","132.69K","0.56%"
"02/13/2023","1,269.30","1,298.51","1,302.11","1,259.04","248.36K","-2.89%"
"02/10/2023","1,307.05","1,323.64","1,327.37","1,307.05","169.90K","-1.30%"
"02/09/2023","1,324.23","1,324.47","1,332.64","1,322.25","123.18K","0.04%"
"02/08/2023","1,323.73","1,328.75","1,334.98","1,301.25","180.42K","0.17%"
"02/07/2023","1,321.54","1,354.37","1,358.59","1,320.26","234.99K","-2.13%"
"02/06/2023","1,350.29","1,337.45","1,350.29","1,329.29","147.16K","0.96%"
"02/03/2023","1,337.47","1,351.33","1,357.16","1,334.34","180.96K","-0.71%"
"02/02/2023","1,347.06","1,365.18","1,368.57","1,337.19","247.29K","-1.09%"
"02/01/2023","1,361.86","1,417.79","1,425.15","1,361.86","437.29K","-3.64%"
"01/31/2023","1,413.31","1,398.08","1,413.31","1,388.14","263.90K","0.92%"
"01/30/2023","1,400.45","1,411.58","1,417.77","1,400.40","316.08K","-0.68%"
"01/27/2023","1,409.97","1,406.31","1,416.89","1,402.33","247.78K","1.09%"
"01/19/2023","1,394.75","1,380.61","1,394.75","1,377.84","226.19K","0.81%"
"01/18/2023","1,383.59","1,379.09","1,386.11","1,370.46","237.73K","0.90%"
"01/17/2023","1,371.27","1,347.82","1,371.27","1,347.82","241.35K","2.01%"
"01/16/2023","1,344.31","1,344.59","1,349.92","1,336.59","161.32K","0.21%"
"01/13/2023","1,341.55","1,346.00","1,354.40","1,335.28","205.54K","0.24%"
"01/12/2023","1,338.34","1,347.86","1,347.94","1,330.99","163.58K","-0.22%"
"01/11/2023","1,341.31","1,349.20","1,358.58","1,341.31","215.99K","0.07%"
"01/10/2023","1,340.42","1,343.35","1,346.27","1,323.55","173.12K","0.02%"
"01/09/2023","1,340.09","1,353.08","1,359.06","1,339.15","152.09K","-0.26%"
"01/06/2023","1,343.61","1,352.65","1,366.84","1,339.20","275.15K","-0.59%"
"01/05/2023","1,351.52","1,349.17","1,355.50","1,337.73","195.87K","0.58%"
"01/04/2023","1,343.66","1,347.25","1,359.48","1,338.92","212.07K","0.09%"
"01/03/2023","1,342.50","1,309.91","1,342.50","1,309.06","208.62K","2.60%"
"12/30/2022","1,308.53","1,298.68","1,308.53","1,293.07","146.13K","0.97%"
"12/29/2022","1,296.02","1,305.21","1,309.44","1,293.14","143.69K","-0.72%"
"12/28/2022","1,305.45","1,292.60","1,305.82","1,277.46","167.20K","1.54%"
"12/27/2022","1,285.70","1,240.89","1,285.70","1,237.92","220.45K","3.14%"
"12/26/2022","1,246.56","1,299.91","1,300.67","1,245.95","234.33K","-4.28%"
"12/23/2022","1,302.36","1,306.27","1,307.50","1,290.47","183.92K","-0.62%"
