"Date","Price","Open","High","Low","Vol.","Change %"
"03/30/2023","1,118.32","1,125.35","1,127.74","1,117.48","120.12K","-0.06%"
"03/29/2023","1,118.99","1,116.36","1,118.99","1,111.90","86.24K","0.21%"
"03/28/2023","1,116.70","1,119.67","1,125.64","1,116.38","136.07K","0.17%"
"03/27/2023","1,114.84","1,107.57","1,114.86","1,105.61","108.70K","0.85%"
"03/24/2023","1,105.46","1,105.66","1,107.61","1,102.66","107.68K","0.41%"
"03/23/2023","1,100.95","1,096.55","1,100.95","1,093.92","65.45K","0.05%"
"03/22/2023","1,100.44","1,099.61","1,104.67","1,098.20","70.06K","0.09%"
"03/21/2023","1,099.40","1,094.86","1,099.40","1,087.06","66.58K","0.71%"
"03/20/2023","1,091.65","1,105.82","1,110.90","1,090.78","88.02K","-1.50%"
"03/17/2023","1,108.33","1,112.28","1,115.12","1,103.98","66.02K","0.20%"
"03/16/2023","1,106.09","1,115.83","1,115.83","1,103.43","81.73K","-1.30%"
"03/15/2023","1,120.66","1,094.40","1,120.66","1,094.40","115.30K","2.75%"
"03/14/2023","1,090.64","1,108.83","1,109.98","1,086.06","110.30K","-1.61%"
"03/13/2023","1,108.46","1,109.20","1,113.49","1,107.02","105.33K","-0.83%"
"03/10/2023","1,117.74","1,120.46","1,121.97","1,113.34","86.66K","-0.58%"
"03/09/2023","1,124.25","1,123.29","1,126.16","1,118.55","99.56K","0.50%"
"03/08/2023","1,118.70","1,101.37","1,118.70","1,100.53","110.09K","1.06%"
"03/07/2023","1,107.00","1,104.44","1,107.25","1,099.01","82.84K","0.45%"
"03/06/2023","1,102.03","1,108.36","1,117.28","1,102.03","80.77K","0.26%"
"03/03/2023","1,099.13","1,108.02","1,112.17","1,098.03","90.66K","-0.73%"
"03/02/2023","1,107.16","1,113.90","1,117.49","1,104.93","74.65K","-0.48%"
"03/01/2023","1,112.47","1,091.55","1,112.47","1,085.74","110.56K","1.66%"
"02/28/2023","1,094.31","1,101.20","1,106.96","1,089.08","104.99K","-0.08%"
"02/27/2023","1,095.14","1,115.81","1,115.81","1,094.26","122.77K","-2.11%"
"02/24/2023","1,118.79","1,133.87","1,135.72","1,116.15","116.23K","-1.20%"
"02/23/2023","1,132.36","1,131.88","1,133.20","1,102.80","154.92K","0.01%"
"02/22/2023","1,132.28","1,150.68","1,154.40","1,132.28","217.19K","-1.95%"
"02/21/2023","1,154.77","1,159.68","1,164.78","1,149.51","181.84K","0.38%"
"02/20/2023","1,150.36","1,122.65","1,150.36","1,122.55","130.93K","2.78%"
"02/17/2023","1,119.28","1,117.50","1,124.86","1,113.03","103.55K","0.07%"
"02/16/2023","1,118.54","1,108.98","1,118.54","1,106.36","88.78K","1.38%"
"02/15/2023","1,103.36","1,083.96","1,106.40","1,083.96","104.01K","1.76%"
"02/14/2023","1,084.28","1,079.49","1,086.54","1,076.21","67.42K","0.85%"
"02/13/2023","1,075.18","1,101.46","1,101.48","1,068.73","138.30K","-3.00%"
"02/10/2023","1,108.44","1,121.86","1,123.21","1,106.88","86.01K","-1.32%"
"02/09/2023","1,123.27","1,120.16","1,126.16","1,119.08","91.90K","0.47%"
"02/08/2023","1,118.04","1,113.14","1,122.85","1,096.51","98.13K","0.57%"
"02/07/2023","1,111.75","1,131.16","1,136.22","1,109.53","114.64K","-1.54%"
"02/06/2023","1,129.18","1,125.63","1,129.36","1,119.47","80.23K","0.32%"
"02/03/2023","1,125.63","1,124.36","1,130.75","1,116.96","91.96K","0.41%"
"02/02/2023","1,121.03","1,133.99","1,139.15","1,114.12","113.95K","-1.17%"
"02/01/2023","1,134.25","1,173.53","1,175.85","1,133.54","170.40K","-2.89%"
"01/31/2023","1,168.06","1,153.88","1,168.06","1,144.79","127.18K","0.98%"
"01/30/2023","1,156.75","1,152.72","1,165.31","1,147.36","154.43K","0.63%"
"01/27/2023","1,149.55","1,149.25","1,154.19","1,146.27","102.12K","0.80%"
"01/19/2023","1,140.40","1,128.23","1,140.40","1,127.69","94.18K","0.94%"
